timestamp,temp_C,pressure_Pa,bmp_alt_m,lat,lon,gps_alt_m,speed_kmh,course_deg,heater,rssi_dBm,raw
2026-05-21T08:55:25,28.3,100259,89.5,N/A,N/A,N/A,N/A,N/A,OFF,-75,28.3|100259|89.5|N/A|N/A|N/A|N/A|N/A|OFF
2026-05-21T08:55:31,28.4,100262,88.9,N/A,N/A,N/A,N/A,N/A,OFF,-81,28.4|100262|88.9|N/A|N/A|N/A|N/A|N/A|OFF
2026-05-21T08:55:38,28.4,100257,89.6,N/A,N/A,N/A,N/A,N/A,OFF,-79,28.4|100257|89.6|N/A|N/A|N/A|N/A|N/A|OFF
2026-05-21T08:55:44,28.5,100239,90.3,N/A,N/A,N/A,N/A,N/A,OFF,-89,28.5|100239|90.3|N/A|N/A|N/A|N/A|N/A|OFF
2026-05-21T08:55:51,28.5,100238,90.9,N/A,N/A,N/A,N/A,N/A,OFF,-99,28.5|100238|90.9|N/A|N/A|N/A|N/A|N/A|OFF
2026-05-21T08:55:57,28.6,100234,90.7,N/A,N/A,N/A,N/A,N/A,OFF,-107,28.6|100234|90.7|N/A|N/A|N/A|N/A|N/A|OFF
2026-05-21T08:56:04,28.8,100238,90.3,N/A,N/A,N/A,N/A,N/A,OFF,-98,28.8|100238|90.3|N/A|N/A|N/A|N/A|N/A|OFF
2026-05-21T08:56:11,28.9,100238,90.8,21.445505,106.691980,62.5,0.1,0.0,OFF,-96,28.9|100238|90.8|21.445505|106.691980|62.5|0.1|0.0|OFF
2026-05-21T08:56:18,29.0,100233,90.8,21.445467,106.691970,59.1,0.3,0.0,OFF,-96,29.0|100233|90.8|21.445467|106.691970|59.1|0.3|0.0|OFF
2026-05-21T08:56:25,29.2,100245,90.6,21.445467,106.691960,57.3,0.1,0.0,OFF,-95,29.2|100245|90.6|21.445467|106.691960|57.3|0.1|0.0|OFF
2026-05-21T08:56:32,29.4,100244,90.2,21.445461,106.691960,55.0,0.3,0.0,OFF,-96,29.4|100244|90.2|21.445461|106.691960|55.0|0.3|0.0|OFF
